"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"Kansas",33,149950,149999,152000,152000,149900,149900,149000,147000,147975,146500,145000,139950,139500,139000,139900,143500,145000,145000,144900,144900,142500,140000,139900,139500,138000,139900,143000,145000,142800,139500,134950,134000,129900,129900,129900,127500,125000,129500,132000,135000,136900,135900,135000,135000,134950,134000,132500,130000,129950,133000,137900,143000,147500,146000,145000,140000,139900,139000,139000,137000,138000,139900,149900,159000,164925,164900,160000,155000,156500,155000,152000,149900,149500,154200,158900,160000,161500,164900,162000,159000,155000,155000,150000,149500,149500,154900,162500,169900,175000,175000,172000,169900,172500,174900,172500,169000,169900,174500,179500,187900,194000,194900,189000,182000
"Utah",34,230000,228500,224900,224540,220000,219900,217900,215000,210000,209900,209850,199900,199500,199000,199000,194900,195900,195000,198000,199000,199000,199000,199700,199500,199900,199990,199900,199900,205000,206500,209000,214750,214900,213950,215000,215000,215000,217900,219900,226500,229900,230000,235000,234900,236000,235000,235000,238900,234900,235000,238000,244900,249000,249900,249900,250000,252000,250000,250000,254900,259800,259900,264900,269900,274900,279900,282000,285000,287499,287900,289900,294000,295900,295000,299900,299000,299000,299900,299825,299900,299900,299900,3e+05,309900,309900,311900,316450,324900,327900,329900,329900,329500,329900,330000,335000,339000,339980,345900,349900,350000,349900,350000,354000,350000
"Nevada",35,168900,169000,168000,165000,161900,159900,155000,150000,151000,149888,147900,139900,139900,139900,139000,135000,135000,134950,134900,135000,135000,134900,134100,130500,131936.5,134500,135000,139568.5,149000,150000,149500,145000,148900,149900,149000,152000,155000,159000,160000,165000,170000,177900,175000,189000,189994.5,190000,191000,189900,189900,190000,199000,199990,205000,209999,210000,219900,219999,220000,219900,219900,219900,219950,224999,229900,235000,235000,239000,239900,239900,239900,239900,239900,239888,235000,240000,249000,250000,255000,259000,259900,260000,261900,264000,264900,265000,269000,270000,275990,279999,287446,290500,293900,297946,299000,299000,299900,299950,299999,299999,305000,309900,310000,314999,320000
"New Mexico",36,231350,229998,227500,225000,227711,225000,225000,223000,219900,219000,217000,210000,204900,199500,199900,199950,205000,205000,207000,205000,205000,204500,199990,199900,199900,199000,199000,199000,199000,199900,199825,199000,199000,195000,195000,190000,189992.5,193500,194000,199000,203840,209000,205900,205000,201900,2e+05,199988.5,199500,199000,198500,199500,2e+05,208000,208945,208100,209500,208240,201600,2e+05,199900,199900,199900,199999,207900,215000,218020,219000,219000,219000,215000,209000,205000,2e+05,205000,210000,214900,217925,219500,219900,219900,219000,219000,214900,212000,209900,210000,215000,219000,220000,224500,225000,224500,224000,220000,219000,218900,218900,219900,219575,224632.5,225000,227500,227500,225000
"West Virginia",37,150000,153500,154850,150000,150000,150000,150000,150000,150000,149900,149205,145000,142900,140000,145000,145000,149000,149500,149500,148500,145000,144500,140000,139900,139900,139900,139900,139900,139900,140000,139900,139900,139900,139900,139900,139500,139900,140000,144900,145000,148000,145950,147900,147500,143500,139900,139000,139900,139900,140000,147500,149900,150000,154900,154900,150000,149900,149900,149900,149900,149500,149900,149900,150000,155000,154900,154000,152615,152000,153000,152000,150000,149900,149900,154600,158000,159900,159900,159000,156500,154900,150000,149900,149900,149000,149900,150000,155000,156900,157500,155500,154973,153450,150000,150000,149900,149900,149900,150000,156900,159000,159000,159000,158000
"Nebraska",38,138000,139250,138000,135000,138000,138000,139500,138500,137000,136900,137500,133000,130000,129950,134500,134900,135000,135000,135000,134900,134000,131700,129900,128900,128900,129500,132000,135000,135000,135000,135000,132000,131950,130000,130000,129500,129900,132500,135000,139400,140000,139900,139900,138000,139000,139000,135000,135000,135000,138000,142000,146500,149900,149920.5,149900,149900,149900,146000,145000,142200,144000,149500,155000,163250,169900,169900,165000,165000,164900,163900,164900,164900,161900,168625,175000,180000,184900,180000,180000,175000,175000,175000,175000,174900,175000,180000,189000,195000,199950,199500,199500,197500,199000,195000,195000,195000,198500,205000,207900,210000,210000,209000,208000,205000
"Idaho",39,175000,174900,171000,171839,174900,172990,173925,172000,169900,169600,166900,164900,159900,159000,159900,159900,165000,167000,169900,169900,169500,169000,165000,164900,164990,164900,169000,169900,174900,174900,174900,179000,174000,174900,174750,171790,174900,175000,179900,185000,189900,190000,194900,193900,194900,189968,185988,166843.5,169000,179500,184900,189900,195000,198600,199500,199000,199000,197500,194990,195000,195000,194900,199000,215000,217900,221945,224500,223000,225000,225000,226000,227900,229000,226490,229900,232900,239900,245000,245000,244900,247000,248495,248250,249228,249900,250000,255000,265990,270000,274999.5,275000,270000,269900,269900,274900,279822,285000,289500,292190,299000,299900,3e+05,299900,299900
"Hawaii",40,509000,499999.5,498500,498500,499000,499000,499000,525000,490000,480000,485000,473136,470950,455000,459000,450000,450575,450000,449800,450000,449000,437250,419900,420375,425000,429000,430000,439900,438000,439000,432500,439000,443942,439000,438000,449000,460000,471000,468074,475000,469150,460000,489000,495000,499000,495000,499000,507000,505000,515000,499900,509000,515000,509000,518000,520000,515000,499000,513150,519000,525000,529000,525785,530000,515000,539000,539000,545000,544450,540000,549000,540000,559000,535000,559000,569000,572000,585000,588000,585000,589000,585000,590000,595000,599000,594000,595000,598500,599900,607000,6e+05,599888,599000,599000,599000,610000,616000,610000,599000,6e+05,615000,619000,615000,625000
"Maine",41,209900,208387.5,2e+05,2e+05,209900,209900,209000,209500,204900,2e+05,199900,199500,198500,198500,199000,199900,199900,199900,2e+05,199900,199900,199000,199000,198500,195000,195000,199000,199500,199000,199000,199500,199000,199000,193500,194900,190000,189900,189900,189900,195000,199000,199000,199000,195900,195900,196450,195000,190000,189500,189500,192500,198000,199900,199900,199900,199900,199876,199000,199000,198500,195000,194900,199000,199900,203500,205000,209900,209000,203250,206000,203250,199900,199000,198900,199900,210000,217900,217900,219000,219000,219900,219900,219000,212000,209000,210000,219000,225000,229500,234000,234600,229900,230000,229900,229000,225000,224900,224900,229900,239000,247700,244900,239900,239900
"New Hampshire",42,249900,249000,249000,249000,249900,249000,246900,244900,239900,239900,239900,235532,229900,230000,230000,234900,239000,238000,239000,235000,230000,229900,227900,223900,219900,219900,225000,225000,229900,229000,229000,229000,225000,224900,224900,222500,224000,225000,229000,232000,238250,239000,235900,234900,234900,234500,229900,229000,225900,224900,229900,239000,239999,245000,244900,240000,239900,239950,239900,239900,239000,239000,239900,249000,249900,249900,249900,249000,249000,245000,245000,244900,242500,244900,249900,255900,259900,264000,264900,262000,264000,262700,260000,260000,264900,269000,269900,275000,279000,279900,279900,279900,279900,279900,279900,279900,279900,279900,289900,295000,299000,299000,297600,294500
